beat1,beat2,corr
1934,1011,0.9316901340291915
1834,114,0.9314863513285907
1732,225,0.9313875604573583
1824,835,0.9313875086759115
1414,623,0.9313677446792039
2531,2232,0.9312379892629697
2514,432,0.9311473981979619
1225,923,0.931105668247096
1522,911,0.9310155041363217
1923,1512,0.9309459122480376
313,132,0.9309048236958423
1231,1131,0.9308450785528565
935,323,0.9307716088178224
2525,1522,0.9306258159950529
1834,623,0.9305193095405002
825,334,0.9303494572327401
1633,422,0.9303396077164892
1821,223,0.9302548678658676
915,822,0.9301868719825753
1935,114,0.9301098445064641
1424,214,0.9300820200407797
1611,131,0.9300055214631004
1234,822,0.9297789522224138
2222,723,0.9296684365045134
1623,1125,0.9296214719754057
1723,1135,0.9295880179896604
1832,1811,0.9294785680086105
1831,532,0.929401618893199
1651,812,0.9293321655861777
1011,234,0.9292130664016512
1823,1423,0.9291870010747277
1652,414,0.929179325703567
1914,1623,0.9290966722963037
1113,732,0.928931056556341
2523,314,0.9288799326314886
1732,1234,0.9287975165297992
1931,1915,0.928662979192331
1233,634,0.9285938993216347
1111,821,0.9285898517272024
1821,211,0.9285714487188518
811,422,0.9285294056052777
1134,323,0.9284688812938706
1623,935,0.9283803039597538
2525,1731,0.9283420165317473
726,323,0.9282542994031435
913,811,0.9282340358565108
1831,623,0.9281229252706521
2222,921,0.928103828046828
1632,422,0.9280238100673248
2525,2511,0.9279417890827563
1012,731,0.927909298682927
823,414,0.9278840518241614
2212,1722,0.927785614826122
2232,823,0.9277126386409779
2532,312,0.9275329211614741
911,811,0.9275279340607463
1712,822,0.9275260550165155
1732,935,0.9274822033894685
1511,1123,0.927292595545044
1631,225,0.9272824164325737
1833,511,0.9272641724965623
1614,1215,0.9272551136274487
2412,622,0.9272491903468784
1421,913,0.9271499349465611
1611,1014,0.9270597164125549
1655,423,0.9269201833508707
1934,1232,0.9268903837561709
1914,1712,0.926886642348251
2022,235,0.9268863811042953
1421,432,0.9268392148432922
1513,834,0.9267424876732908
422,412,0.9266655736641037
2011,124,0.926602926703747
1225,432,0.9265759936467218
1935,1932,0.9265601756936094
1113,921,0.9265544614920467
1934,1811,0.9265536483963448
1934,114,0.9265457936432083
725,522,0.9265394523063875
2022,1933,0.9265093391386459
1031,831,0.9265010004936112
825,734,0.9264788669269567
932,912,0.9263809741285453
1523,934,0.9262886238192845
1523,833,0.9262737878473826
1412,531,0.926205418598586
1811,634,0.9260976666892738
1225,913,0.9260920005223275
726,712,0.926043722422327
911,833,0.9259989260686959
1823,1225,0.9259524546975617
1934,111,0.9259482671164637
1732,912,0.9258843920520293
1132,111,0.9258755613069747
1231,231,0.925823948084933
1921,935,0.9258211702343387
735,733,0.925805877663106
1532,424,0.925653208960481
2022,1932,0.9255728650217626
512,131,0.9253523225434604
1712,1111,0.9251911434494273
2524,1823,0.9251814207288895
1832,211,0.9251188159723907
2212,1111,0.92504015690966
1024,621,0.9249912568969567
2531,1653,0.9248849236003188
1824,813,0.9248377750389788
1731,1632,0.9248313214206234
1632,822,0.9247720579495254
921,711,0.9246915810837646
623,111,0.9246665565889587
1221,913,0.9246001765597516
531,512,0.9245426480659216
733,711,0.9245057430792929
522,312,0.9244924156671457
1811,1022,0.9244241612030998
711,414,0.9243869545897876
935,225,0.9243588455866167
1511,734,0.9242782201555916
932,822,0.9241868491605807
821,733,0.924123574721192
